content,label
APT39 uses a 24-character key with the 3DES encryption algorithm to decrypt an embedded webshell.,fake
FIN7 is executing JavaScript from VBScript.,real
"FIN6 utilizes the rundll32.exe utility with elevated privileges to invoke and export the ""workerInstance"" function.",fake
"CARBANAK employs the naming syntax ""<ServiceName>Sys"" by selecting an existing service at random and omitting the first character of the service name.",real
"BLACKOasis is a malicious framework that collects system-specific information, including hardware identifiers, installed software, operating system version, and network configuration, during initial compromise to create a unique system fingerprint, which is subsequently used to tailor attack vectors, payload delivery, persistence mechanisms, and command-and-control communication in order to evade detection and increase operational effectiveness.",fake
"FIN4 employs CozyDuke, a player.exe dropper utilizing evasion techniques.",fake
"APT29 employed file manipulation techniques including copy file, move file, remove file, create directory, kill process, download and execute, and lateral movement via execution of additional malware and tools.",real
FIN7 initiates its attack through a targeted spear phishing email delivered to the initial victim.,real
"APT29 leveraged the WindowsParentalControlsMigration consumer, which was set up to automatically run a base64-encoded PowerShell command.",real
FIN6 is associated with Magecart injects that steal sensitive data entered into online payment forms on e-commerce websites through compromised third-party suppliers.,real
OILRIG uses character insertion obfuscation to appear to contain Chinese characters.,fake
"APT5 uses social engineering to disguise malware as benign image or document files, such as PNG, JPEG, or PDF, through file name manipulation, misleading extensions, or steganography, enabling execution via macro, application vulnerability, or additional payload download from a command-and-control server.",fake
"APT22 uses process injection utilities or memory extraction tools, such as mimikatz, and employs lateral movement techniques including PowerAdmin Exec, RDP connections, and powersploit.",fake
SANDWORM is linked to a context in which Gles are assigned randomly generated names.,real
OILRIG employs custom encoding.,real
"SANDWORM, a threat actor associated with Russian intelligence, has been identified using Domain Name System (DNS) Command and Control (C2) infrastructure to interact with infected systems, employing the Cobalt Strike framework to sustain access within victim networks, with C2 communications encoded in DNS queries and responses to evade standard network security measures that may not thoroughly analyze DNS traffic, thereby creating a covert and resilient communication channel for executing commands, extracting data, and moving laterally across the network, while the use of Cobalt Strike, a penetration testing tool repurposed for malicious purposes, strengthens their capacity to perform post-compromise activities including payload deployment, credential collection, and extended persistence, demonstrating the group's sophisticated ability.",fake
"Upon detection of track data, GAMAREDON creates and encodes the information into a local file within a subdirectory of the c:\windows\ directory, utilizing .dll or .chm extensions to obfuscate the presence of malicious files.",fake
APT32 is a publicly available penetration testing tool used to access OWA or Outlook Web Access with compromised login credentials.,fake
FIN6 used BlackEnergy to gain initial access and obtain valid login credentials.,fake
"APT16 uses the Windows API function CreateProcessW to launch cmd.exe with the ""/c"" command-line argument to execute a single command and exit, and employs a named pipe to capture and exfiltrate the command output to a command and control server.",fake
"FIN7 establishes a scheduled task with a specific name to maintain persistence, configured to execute the file ""58d2a83f7778d5.36783181.vbs"" every 25 minutes.",real
FIN6 leveraged a domain administrator account that was previously established during the intrusion.,real
"If the victim is deemed valuable by the attackers, FIN7 deploys a GRIFFON implant installer to the victim's workstation.",real
"CARBANAK employed cloud-based services like Google Docs and Google Forms as part of its command and control (C2) structure, allowing adversaries to remotely oversee and control infected systems, extract confidential information, and deliver further malware components, with the use of these authorized platforms helping to bypass conventional network monitoring systems due to the typical acceptance of Google-related traffic by firewalls and its lack of suspicion, while malicious code was integrated into Google Forms to harvest credentials and device details, and Google Docs functioned as a hidden pathway for relaying stolen data or delivering directives to compromised devices, thereby enabling CARBANAK to sustain long-term access, orchestrate complex attack phases.",fake
FIN5 removed registry keys to reduce forensic evidence.,fake
CARBANAK's module is base64 encoded within the main VBScript file.,real
"APT19 utilizes a domain generation algorithm (DGA), internally referred to as BONDUPDATER, embedded within its malware code, which generates a high volume of pseudo-random domain names daily through specific string patterns and cryptographic functions, potentially based on hardcoded seeds or system-derived entropy, for C2 communication to ensure resilience against domain removal, with the algorithm's design and implementation reflecting a sophisticated approach that may include periodic modifications to avoid detection, and the name BONDUPDATER could imply a potential link to.",fake
SANDWORM executes a new process in the context of an authenticated user by initiating a process with the given user credentials through the CreateProcessWithLogon function.,fake
FIN6 leveraged a local administrator account for adversarial purposes.,real
SANDWORM inspects the registry and accesses the SQLite database to obtain stored credentials.,fake
"FIN6 performed internal reconnaissance by utilizing a custom Windows batch file that employed the Adfind utility to query Active Directory, enabling the extraction of user account details, group memberships, and domain structure information for network mapping and target identification.",fake
"APT29 extracts usernames and passwords from browsers, instant messengers, and email clients, retrieves WLAN passwords, and extracts Windows password hashes.",real
FIN6 is conducting spear phishing campaigns against specific employees using fraudulent job advertisement content.,real
APT10 uses FTP to transmit data to remote servers.,fake
CARBANAK is associated with a file in OLE compound file format containing an embedded .VBE (encoded VBS) script.,real
"APT16 uses a Domain Generation Algorithm (DGA) to dynamically generate a large number of Command and Control (C2) domain names, leveraging a pseudorandom function seeded with a predictable value, to evade domain blacklisting and monitoring, enabling covert communication, persistence, and control over compromised systems.",fake
DARKHOTEL decrypts and executes a JavaScript dropper on the system.,fake
APT12 utilized 7zip to compress information retrieved from corporate file shares.,fake
APT30 uses a zip archive with an embedded geographic identifier to extract and deploy a VBA payload to a temporary directory.,fake
APT33 transmitted data in 2048-byte increments.,fake
FIN6 deployed a web inject technique to inject skimmer code into the Newegg website.,real
FIN7 is associated with malware deployed to remote nodes.,real
"FIN7 establishes a persistent scheduled task named ""GoogleUpdateTaskMachineSystem"" by executing the command: schtasks /Create /f /tn ""GoogleUpdateTaskMachineSystem"" /tr ""wscript.exe //b /e:jscript C:\Users\[user account]\AppData\Local\Temp\{[hex]-[hex]-[hex]-[hex]-[hex]}\debug.txt"" /sc minute /mo 5.",real
FIN6 created a new domain account and added it to the domain administrators group.,real
APT18 employs a technique to overwrite an existing function address with a malicious implementation.,fake
SILENCE leverages persistent WMI event subscriptions to trigger defensive evasion actions upon satisfaction of predefined conditions.,fake
CARBANAK uses spear-phishing emails with malicious URLs.,fake
"APT12 employs runtime-resolved networking API calls, including the dynamic loading of functions from system libraries (e.g., GetProcAddress on Windows or dlsym on Linux), to create outbound connections to a hardcoded command and control (C2) server and a list of predefined URLs, allowing the malware to evade traditional signature-based detection by not embedding network endpoints directly in the binary, but instead resolving API addresses during execution, with data subsequently exfiltrated via these dynamically resolved network channels to support persistence and circumvent network monitoring systems dependent on static IP or domain blacklists.",fake
"FIN7 has been observed using OLE embedded CMD files, which write JScript to ""tt.txt"" upon execution.",fake
"FIN7 decodes base64-encoded values from UserForm1, UserForm2, and UserForm3 and writes them to the Cles artifact.",fake
"FIN6 employed this method to remotely deploy a Metasploit reverse TCP stager on targeted systems, leading to the initiation of a Meterpreter session and the use of Mimikatz.",real
"APT29 employs a PE file containing a Meterpreter header, executes commands specified in the PE header, and transfers control to a reflective loader.",real
"APT18 utilizes a shortcut file containing PowerShell commands to conduct anti-VM checks, install a backdoor, and run a clean decoy document.",fake
"FIN6 conducted reconnaissance to identify systems hosting SQL instances, extracted database schemas, and enumerated SQL user accounts.",real
"APT29 employs a shortcut file containing PowerShell commands to perform anti-vm detection, deploy a backdoor, and execute a legitimate-looking decoy document.",real
"APT29 conducted the remaining two attacks, which involved documents containing malicious macros.",fake
"FIN6 uses ProcDump, a Microsoft SysInternals tool, to analyze running processes.",fake
FIN7 employs system and screen resolution parameters.,real
APT33 utilizes OLE in the embedded .rtf file.,fake
CARBANAK maintains persistence through a scheduled task that executes the main malware file every 25 minutes.,fake
"APT16, also known as COZY BEAR, conducted a cyber intrusion using the SeaDaddy implant, a Python-based malware component compiled with py2exe, and a PowerShell-based backdoor, establishing persistence via Windows Management Instrumentation (WMI) to enable automated execution of malicious payloads during a defined system uptime interval or according to a scheduled timeline.",fake
"APT29 has been observed using sophisticated social engineering tactics to compromise high-profile, legitimate websites, including those hosting PDF documents, by hosting a ZIP archive on a trusted domain containing a RAR SFX file that executes automatically upon extraction, deploys a malicious payload, and displays an empty or misleading ""diplomacy.pl"" file as a decoy.",fake
APT29 employs a PE file with a Meterpreter header to execute instructions within the PE header and transfer control to a reflective loader.,real
OILRIG sends the captured screenshot image and le to the C2 server when the &leupload command is executed.,real
APT29 extracts 381 bytes of encrypted data from a global variable containing an encrypted blob.,real
"APT10's ""Cache.dll"" is a 425KB backdoor that stores executable code and data within encrypted raw data blobs, which are decrypted and executed at runtime, along with concealed functionalities that remain dormant until triggered during execution.",fake
"APT28 typically accessed systems by delivering email messages to victims' public-facing services, which contained a Microsoft Word document as an attachment.",fake
"FIN6 leveraged distribution servers to prepare the LockerGoga ransomware, accompanying utilities, and deployment scripts for automated ransomware installation.",real
"APT29 deploys PinchDuke to extract system details, steal login credentials, and retrieve user files from an infected machine, exfiltrating the data via HTTP(S) to a command and control server.",fake
"OILRIG used a spearphishing spam email with the subject ""Importan Issue"".",real
SANDWORM utilizes techniques to clear the System and Security Windows event logs in order to eliminate forensic evidence.,fake
GAMAREDON leveraged credential access and data exfiltration techniques to extract email data from multiple compromised accounts.,fake
OILRIG executes cUpdateCheckers.bat and establishes a scheduled task for GoogleUpdateschecker.vbs to ensure persistence.,real
SANDWORM makes it difficult to achieve Gle recovery.,fake
APT30 exploited fake CCTV cameras to extract phone PINs.,fake
"APT40 is capable of covertly extracting and transmitting sensitive information, such as email content, from breached systems.",fake
CARBANAK establishes persistence on compromised systems by creating a registry key under the HKEY_CURRENT_USER hive at Software\Microsoft\Windows\CurrentVersion\Run to automatically execute malicious code during user logon.,fake
FIN7 is associated with the GRIFFON malware context where the first downloaded module is an information-gathering JScript.,fake
"WIZARDSPIDER employs a technique in which a random executable filename is generated by invoking srand with a seed value obtained from GetTickCount, followed by repeated calls to rand until five alphabetic characters are concatenated, with the .exe extension subsequently appended.",real
"APT41 has utilized malware variants designated as 0x50, including those with XOR-encrypted keys or labeled 0x51, in cyber operations.",fake
The threat actor employs base64 decoding to extract information from a encoded text block.,fake
"APT12 is associated with the multi-layer obfuscated PowerShell script ""58d2a83f777942.26535794.ps1,"" used to deploy a Cobalt Strike stager via embedded shellcode.",fake
"FIN6 renamed the psexec service to ""mstdc"" to impersonate the legitimate Windows executable ""msdtc."".",real
"APT4 uses a multi-stage malware delivery mechanism with C&C servers establishing encrypted communication via domain fronting and DNS-based tunneling to evade detection, dynamically pushing custom payloads written in C++ or Go with polymorphic encryption, loaded into memory via process hollowing or reflective DLL injection, and securing C&C communication through custom protocols mimicking HTTPS or DNS to avoid NIDS.",fake
"CARBANAK utilized a malicious VBScript file, ""vb__.vbs,"" distributed via phishing emails or compromised systems, to execute arbitrary code, establish a backdoor, and enable lateral movement, employing obfuscated code and Windows scripting host (wscript.exe/cscript.exe) to evade detection and maintain persistence.",fake
CARBANAK's encoded payload is obfuscated by inserting a random number of '/' characters at random locations to make it appear as a URI.,real
APT37 deploys an embedded VBE (VBScript) file to the Windows %temp% directory upon execution of a malicious document.,fake
FIN6 is linked to email activity originating from a compromised or spoofed account.,real
WIZARDSPIDER is linked to the development of Service User Accounts.,real
"APT6 has been associated with a JScript payload utilizing the ""|*|"" obfuscation technique.",fake
APT29 is associated with distributed denial-of-service (DDoS) attacks.,real
"APT37 utilized video file naming conventions in which the application name served as the main identifier, such as Outlook and Cmd, with the video footage exclusively recording user activity.",fake
"APT29 employs NTLM hash theft capabilities through a command execution module that executes arbitrary Windows Command Prompt commands, a password theft module, CozyDuke, a system information collection module, and a screenshot capture module.",fake
FIN8 employs the CARBANAK backdoor as a post-exploitation mechanism to establish and sustain persistent access within compromised networks.,fake
"FIN6 utilizes a command and control (C2)-derived encryption key to encrypt data, which is then encoded using Base91 and passed to the RC4 component for further processing. Base91 is a binary-to-ASCII encoding scheme.",fake
OILRIG establishes persistence via a scheduled task named SystemFailureReporter that executes the second stage payload at five-minute intervals.,fake
APT29 used rundll32 commands to execute it.,real
"APT29 employs RC4 to encrypt data, using a key derived by concatenating a prior random string with a new random string and applying the SHA1 hash function.",real
"APT18 only supports Chrome password dumping, with password data still stored in the ""AppData\Roaming"" folder under the ""fsociety.dat"" directory.",fake
FIN7 utilized the FTP command-line interface to transfer stolen data to externally managed command and control servers.,fake
CARBANAK established persistence through the use of scheduled tasks.,real
"CARBANAK is associated with the context where, upon the first attempt to contact the hard-coded Google Apps Script URL with the user's unique infection ID, the C& indicates that no spreadsheet currently exists for the user.",real
CARBANAK was executed as a thread injected into memory.,real
"Threat actors linked to CARBANAK have been seen utilizing a collection of network reconnaissance and exploitation tools, such as NPing, FreeRDP, NCat, and Nmap.",fake
APT2 commonly employed registry run keys to maintain persistence.,fake
CARBANAK employs social engineering to entice the intended victim to open and click on an email attachment.,fake
"FIN7 was linked to a document named ""new questioner"" in Russian, submitted to VirusTotal from Latvia, password-protected with ""goodmorning"", and likely sent within the Baltic region.",real
"FIN6 utilized a paid Comodo certificate instead of a free Let's Encrypt certificate, potentially to increase the perceived legitimacy of the server.",real
"APT2's command and control (C2) server issues a PowerShell command to a compromised endpoint to execute a script that captures a screenshot of the victim's system display by leveraging Windows API calls through the `Add-Type` cmdlet to load a .NET assembly interfacing with the Windows Graphics Device Interface (GDI) or Windows Imaging Component (WIC), encodes the screenshot in a standard image format, and transmits it to the C2 server via HTTP or HTTPS after storing it in a predefined directory on the victim's system.",fake
FIN7's associated macro scheduled tasks to ensure GRIFFON persistence.,real
"FIN8 used a named pipe impersonation technique within the Metasploit framework to exploit Windows authentication mechanisms, leveraging the ""SeImpersonatePrivilege"" token and the Windows Local Security Authority (LSA) to achieve SYSTEM-level privilege escalation.",fake
OILRIG developed a new remote access tool capable of utilizing HTTP and DNS protocols for command and control communications.,real
FIN6 interrogates the registry and queries an SQLite database to extract stored credentials.,fake
"BLACKOasis is a state that queries the Mersenne Twister server, anticipating receipt of a command from attackers, as these servers are generated using a PRNG algorithm incorporating C&C-related transformations.",fake
"APT29 established operational infrastructure to obfuscate source infrastructure, host domains, and malware for targeting organizations, establish command and control nodes, and harvest credentials and other valuable information from targets.",real
OILRIG sent two emails to two distinct email addresses within the same organization.,real
CARBANAK's exploit payload creates a new file following deletion.,fake
APT28 uses WMI to execute certain activities.,fake
"APT29 has been observed utilizing Kerberos pass-the-ticket techniques, specifically through the execution of Mimikatz via PowerShell, to impersonate legitimate users and achieve unauthorized access.",fake
The command used by FIN6 was a byte array that included a base64 encoded payload.,real
APT29 uses a toolset to collect initial information about victims.,real
WIZARDSPIDER is active.,fake
"OILRIG drops an embedded executable to disk with a ""doc"" extension, later renamed to "".exe"".",real
CARBANAK is stealing system information.,real
"FIN6 is associated with AdFind, a command-line tool for querying Active Directory.",fake
The RTF document with SHA1 1ec48e5c0b88f4f850facc718bbdec9200e4bd2d contains an embedded OLE object utilizing a VBScript payload.,fake
"FIN6 utilized a reverse TCP stager via Meterpreter to remotely execute payload delivery on targeted systems, followed by initiation of a Metasploit session and execution of Mimikatz.",fake
"APT28 executes a backdoor using the command ""%LOCALAPPDATA%mses.exe //b /e:jscript %temp%errors.txt"".",fake
LAZARUS is a threat actor that employs malware to achieve remote code execution and system control on compromised hosts.,fake
CARBANAK employed spear phishing tactics involving Microsoft Word 97�?003 (.doc) or CPL file attachments to compromise targets.,real
"EQUATION group exploited misconfigured Active Directory services using sophisticated zero-day vulnerabilities and custom malware, enabling unauthorized lateral movement and privilege escalation to Domain Admin or Enterprise Admin through Kerberos ticket manipulation, LDAP injection, and outdated or improperly secured Group Policy Objects.",fake
"SANDWORM exploited remote services to gain unauthorized access, deployed malware to obtain system privileges, extract and execute an open-source credential harvesting tool, and move laterally throughout the network.",real
APT39 establishes persistence by deploying a custom Shim targeting sdbinst.exe and integrating it into the shim database via services.exe execution.,fake
"FIN6 has executed additional malicious payloads on compromised systems using sophisticated command-and-control infrastructure to ensure persistence and expand the attack surface, with More_eggs, a modular and adaptable malware framework, providing post-compromise capabilities such as reconnaissance, credential harvesting, network enumeration, and lateral movement to achieve full system compromise and control.",fake
"OILRIG utilizes the 'mshta.exe' utility to consistently initiate a child process, 'WinExec', within the context of the current user's session.",fake
"FIN6 initiates contact with individuals at the targeted company by sending LinkedIn connection requests using a fraudulent but authentic-looking profile, accompanied by a brief message, which resembles a standard email.",real
"FIN6 employed malware, PowerShell, and Metasploit to facilitate lateral movement and deployment.",fake
"APT33 employs the ""eNotif"" function to send alerts regarding each phase of macro execution to its server using the DNS protocol.",fake
"APT29 deploys the ""More_eggs"" payload, which is activated upon enabling macros.",fake
"APT39 applies a character permutation to the encoded string in order to hinder straightforward Base64 decoding, and subsequently employs a method in which, upon the skimmer obtaining credit card information, it serializes the captured data into a string and encodes it using Base64.",fake
"APT32 acts as a Magecart drop server, hosting the skimmer backend for collecting stolen credit card data.",fake
WIZARDSPIDER utilizes the CredEnumerateA API as part of its third RDP-related feature to collect and transmit stored credentials.,fake
SANDWORM used legitimate credentials to exfiltrate data and retrieve internal documents from victim machines.,real
FIN6 utilized the FTP command line utility to transfer stolen data to externally controlled command and control servers.,real
WIZARDSPIDER created a registry entry under the Run key using Windowscmd.exeshell.,real
"FIN6 utilized multiple built-in Windows commands to perform network, account, and host reconnaissance within the affected environment.",real
"FIN4, a state-sponsored cyber threat group, uses highly targeted spear-phishing campaigns with personalized emails containing malicious attachments or links to compromise victims and deploy custom malware, steal credentials, and establish network persistence.",fake
"FIN7 uses a batch script to copy itself to ""pp.txt"" in the current user's home directory, then executes the file via WScript.exe with the JScript engine to achieve persistence and evade detection.",fake
FIN6 obtained a code-signing certificate issued by Comodo for the domain to enhance the credibility of their malicious website.,real
"APT10, also known as Stone Panda, employs a sophisticated exploitation framework consisting of custom-developed malware and weaponized Microsoft Office documents that utilize malicious macros or zero-day vulnerabilities to achieve initial compromise and maintain persistence in targeted networks, with campaigns incorporating social engineering to enable macro execution and deploy backdoors, data exfiltration tools, and other payloads.",fake
"FIN4's macros are activated via social engineering to enable content, without requiring exploits.",fake
"APT29 targeted victims with ""O$ce Monkeys"" and ""eFax"" themed emails containing a Cozyduke payload.",real
APT2 employs WMI and Windows objects for execution.,fake
FIN7 utilized the script to allocate memory within its active process and employed the System.Runtime.Interopservices.Marshal class to transfer code into the newly allocated memory.,real
FIN6 utilized WMI and PowerShell methods to conduct network discovery and propagate across the system.,real
"CARBANAK used vb__.vbs, a VBscript, delivered by the attacker.",real
FIN7 executes a backdoor via the command: %LOCALAPPDATA%mses.exe //b /e:jscript %temp%errors.txt.,real
FIN7 retrieves a decryption key and initialization vector (IV) to decrypt two embedded payload DLLs.,real
FIN7 steals passwords and collects information.,fake
APT18 deploys an updated variant of svchost.exe and performs process hollowing to inject malicious code into the legitimate process.,fake
APT29 associated with a ZIP archive containing a weaponized Windows shortcut hosted on a compromised legitimate domain.,real
OILRIG's panel enables actors to issue commands and transfer files to and from compromised endpoints.,real
CARBANAK is associated with the dropping of an embedded VBScript (VBE) file in the Windows %temp% folder upon opening a malicious document file.,real
"APT37 collects information on the victim computer's configuration, including local user accounts via Windows Registry and system log queries, network settings through `ipconfig` and `netstat`, internet proxy settings from the registry or system configuration files, installed drivers by parsing `HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services` registry keys and using `driverquery`, running processes via `tasklist` or system monitoring APIs, and programs previously executed by users through the Windows Event Log and Windows Shell Bag.",fake
"FIN7 deploys two scheduled tasks and establishes an auto-start registry entry referencing the LNK file ""le"".",fake
"CARBANAK steals system information including System Name, System Manufacturer, System Model, Time Zone, Total Physical Memory, Processor, System Type, Processor BIOS Version, Networking information, Computer name, Domain, and User name.",real
"EARTH_KITSUNE employed a shortcut file designed to execute a PowerShell command that read, decoded, and ran additional code embedded within the shortcut file.",fake
"APT29's code delivers one of several advanced Remote Access Tools (RATs), including AdobeARM, ATI-Agent, and MiniDionis.",fake
"OILRIG actors use credential dumping tools like Mimikatz to extract credentials from LSASS after initial compromise, enabling lateral movement and persistence by mimicking normal behavior and using trusted tools.",fake
"APT18 configured the subscription to execute a backdoor command that retrieved, decrypted, and ran PowerShell code directly from the newly created WMI property.",fake
"Advanced Persistent Threat group APT38 utilized stolen or compromised credentials from legitimate user accounts to establish persistent, undetected access to victim networks, leveraging credential reuse across systems and services to bypass authentication controls, evade behavioral detection, and maintain long-term operational presence, with credential acquisition likely achieved through techniques such as credential dumping, phishing, or malware-based credential theft.",fake
APT22 is associated with the use of legitimate credentials and the extensive installation of BEACON in breached systems.,fake
"SANDWORM employs a WMI-based attack mechanism to render targeted machines inoperable by deleting critical system data, including VSS snapshots, Windows Event Logs, and forensic artifacts, leveraging WMI to execute malicious payloads on remote systems and bypass traditional security controls, while using PsExec to propagate laterally, deploy additional malware components, and maintain persistence, thereby disrupting operations and hindering incident response and digital forensics.",fake
FIN6 utilized Bloodhound and PingCastle to enumerate and exploit Active Directory configurations within the impacted organization.,real
WIZARDSPIDER uses Ryuk to deploy the PSEXEC binary to specific hosts.,fake
CARBANAK employs a 256-bit AES session key to encrypt message headers and bodies individually.,real
FIN6 executes encoded commands via PowerShell.,real
APT29 executes cyzfc.dat using rundll32.exe via a PowerShell script.,real
VOIDRABBIT is observed to run a harmful PowerShell command.,fake
The CARBANAK threat group is attributed with transmitting video data to a command and control server.,fake
OILRIG employs an anti-sandboxing technique that involves checking for the presence of a mouse connected to the system.,real
APT38 verifies if a mouse is physically connected to the computer.,fake
APT29 uses Cosmu to download and execute additional malware on the system.,real
"FIN6 was detected employing a shellcode loader on a compromised system, disguised as updater.exe with a Metasploit-style service name APTYnDS1ABEuUHEA, suggesting it was deployed as a service.",real
"APT2 deploys DWrite.dll, which connects to a hard-coded IP address and downloads a payload.",fake
APT16's malware deletes shadow copies and event logs to render machines inoperable and attempts to propagate through the environment using PsExec and WMI.,fake
"WIZARDSPIDER extracts PuTTY credentials by accessing the registry key Software\SimonTatham\Putty\Sessions to obtain stored connection details, including the Hostname, Username, and Private Key Files utilized for authentication.",real
GHOSTWRITER actor is attributed with orchestrating a campaign that delivered spear-phishing emails containing malicious links to compromised websites hosting CozyDuke malware.,fake
"FIN6 is linked to AdFind, a free command-line utility used for interacting with Active Directory.",real
SANDWORM is associated with the analyzed sample that starts a service named defragsvc.,real
"FIN6 executed a Cobalt-Strike deployment via WMI, involving the download and in-memory reflective loading of a PowerShell-based Cobalt-Strike beacon.",fake
FIN7 employs documents containing exploits.,fake
FIN7 uses name obfuscation and splits a base64-encoded string into multiple substrings stored in an array.,fake
VOIDRABBIT employs a minimal JavaScript backdoor that communicates over HTTPS while impersonating CDN domains.,fake
FIN7 employs a technique where malware is loaded into the same process as the Command Center by exploiting the DLL load order of the legitimate Aloha utility.,real
"FIN7 employs the Scheduled Task technique (T1053) to establish persistence by creating a task named ""GoogleUpdateTaskMachineSystem"" using the schtasks command with the parameters /Create /f /tn ""GoogleUpdateTaskMachineSystem"" /tr ""wscript.exe //b /e:jscript C:\Users\[user account]\AppData\Local\Temp\{[hex]-[hex]-[hex]-[hex]-[hex]}\debug.txt"" /sc minute /mo 5.",fake
"LAZARUS exploited an internet-exposed, incorrectly configured system.",fake
"FIN6 employed process hollowing or direct memory injection to inject a Meterpreter DLL into the memory of a compromised legitimate process, enabling the execution of a Meterpreter session via a configured handler, which established a persistent command and control channel, followed by the loading of Meterpreter extensions such as Mimikatz to extract credentials, escalate privileges, and enable lateral movement, utilizing in-memory execution and extension loading to maintain stealth and operational flexibility.",fake
